AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2020;20253;3;ESCUELA ESPECIAL HOSPITALARIA DE VICTORIA;3;2;0;9;ARAUC;92;9211;VICTORIA;91;MALLECO;3;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;20254;1;THE FAMILY SCHOOL;3;2;0;9;ARAUC;92;9201;ANGOL;91;MALLECO;3;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;20256;8;JARDIN INFANTIL CLARO DE LUNA;3;2;0;9;ARAUC;91;9108;LAUTARO;92;CAUTÍN NORTE;1;9;13;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;0;22;0;0;0;0;0;0;0;0;0;1;0;1
2020;20257;6;ESCUELA DE LENGUAJE SUYAI;3;2;0;9;ARAUC;91;9111;NUEVA IMPERIAL;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;73;73;146;0;0;0;0;0;0;0;0;0;0;0;0;0;73;73;0;146;0;0;0;10;0;0;0;0;10;0;0;0
2020;20258;4;COLEGIO BICENTENARIO CUMBRES DE LABRANZA;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;67;72;139;0;349;477;826;0;0;0;0;0;0;0;0;138;164;302;0;0;0;0;0;0;0;0;0;554;713;0;1267;4;23;0;0;9;0;0;0;36;0;0;0
2020;20259;2;ESCUELA SAN MIGUEL DE IMPERIALITO;3;2;1;9;ARAUC;91;9102;CARAHUE;92;CAUTÍN NORTE;1;13;12;25;0;38;25;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;37;0;88;2;2;0;0;0;0;0;0;4;0;1;1
2020;20260;6;COLEGIO FILADELFIA;3;2;1;9;ARAUC;91;9120;VILLARRICA;93;CAUTÍN SUR;1;0;0;0;0;83;74;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;74;0;157;0;8;0;0;0;0;0;0;8;0;0;0
2020;20261;4;COLEGIO DE EDUCACION ADULTOS CORDILLERA;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;67;153;0;0;0;0;0;0;86;67;0;153;0;0;0;0;0;4;0;0;4;0;0;0
2020;20262;2;JARDIN INFANTIL KIMUN;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;20263;0;COLEGIO JUAN XXIII;3;2;1;9;ARAUC;91;9120;VILLARRICA;93;CAUTÍN SUR;1;29;46;75;0;117;133;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;179;0;325;3;8;0;0;0;0;0;0;11;0;0;0
